symbol,company,group,period_end,title,publish_dt,tracing_no,is_revision,excel_url,section,product,unit,month_production,month_sales_qty,month_sales_rate_rial,month_sales_amount_mrial,month,year
ارفع,آهن و فولاد ارفع,steel,1400/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,۱۴۰۰/۰۹/۰۳ ۱۴:۰۹:۵۰,822179,False,https://excel.codal.ir/service/Excel/GetAll/2yEEnLM6d7OOObOOOB4l8D1cLDbg%3d%3d/0,domestic,شمش فولادی,تن,71215.0,50932.0,140388891.0,7150287.0,1400-08,1400
ارفع,آهن و فولاد ارفع,steel,1400/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,۱۴۰۰/۰۹/۰۳ ۱۴:۰۹:۵۰,822179,False,https://excel.codal.ir/service/Excel/GetAll/2yEEnLM6d7OOObOOOB4l8D1cLDbg%3d%3d/0,export,شمش فولادی,تن,0.0,0.0,0.0,0.0,1400-08,1400
ارفع,آهن و فولاد ارفع,steel,1400/09/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,۱۴۰۰/۱۰/۰۵ ۱۳:۰۴:۲۸,835314,False,https://excel.codal.ir/service/Excel/GetAll/oqwVnnjkR4pTlkUuYkOOObOOO56A%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,88176.0,,,0.0,1400-09,1400
ارفع,آهن و فولاد ارفع,steel,1400/09/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,۱۴۰۰/۱۰/۰۵ ۱۳:۰۴:۲۸,835314,False,https://excel.codal.ir/service/Excel/GetAll/oqwVnnjkR4pTlkUuYkOOObOOO56A%3d%3d/0,domestic,شمش فولادی,تن,75912.0,65254.0,133687207.0,8723625.0,1400-09,1400
ارفع,آهن و فولاد ارفع,steel,1400/09/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,۱۴۰۰/۱۰/۰۵ ۱۳:۰۴:۲۸,835314,False,https://excel.codal.ir/service/Excel/GetAll/oqwVnnjkR4pTlkUuYkOOObOOO56A%3d%3d/0,export,شمش فولادی,تن,,12225.0,155761227.0,1904181.0,1400-09,1400
ارفع,آهن و فولاد ارفع,steel,1400/10/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,۱۴۰۰/۱۱/۰۵ ۰۹:۱۵:۱۳,846255,False,https://excel.codal.ir/service/Excel/GetAll/k4QQQaQQQvgYPw1f8m1o4CmOrOOObOOOBw%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,79132.0,0.0,,0.0,1400-10,1400
ارفع,آهن و فولاد ارفع,steel,1400/10/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,۱۴۰۰/۱۱/۰۵ ۰۹:۱۵:۱۳,846255,False,https://excel.codal.ir/service/Excel/GetAll/k4QQQaQQQvgYPw1f8m1o4CmOrOOObOOOBw%3d%3d/0,domestic,شمش فولادی,تن,75493.0,38634.0,130717580.0,5050143.0,1400-10,1400
ارفع,آهن و فولاد ارفع,steel,1400/10/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,۱۴۰۰/۱۱/۰۵ ۰۹:۱۵:۱۳,846255,False,https://excel.codal.ir/service/Excel/GetAll/k4QQQaQQQvgYPw1f8m1o4CmOrOOObOOOBw%3d%3d/0,export,شمش فولادی,تن,0.0,0.0,0.0,0.0,1400-10,1400
ارفع,آهن و فولاد ارفع,steel,1400/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰(اصلاحیه),۱۴۰۰/۱۲/۱۸ ۱۶:۳۴:۲۸,861474,True,https://excel.codal.ir/service/Excel/GetAll/GogQQQaQQQdMPapnO4irnxUeLvHQ%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,14916.0,,,0.0,1400-11,1400
ارفع,آهن و فولاد ارفع,steel,1400/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰(اصلاحیه),۱۴۰۰/۱۲/۱۸ ۱۶:۳۴:۲۸,861474,True,https://excel.codal.ir/service/Excel/GetAll/GogQQQaQQQdMPapnO4irnxUeLvHQ%3d%3d/0,domestic,شمش فولادی,تن,64984.0,39041.0,131734510.0,5143047.0,1400-11,1400
