date,usd_irr,date_jalali
2014-04-23,32540.0,1393/02/03
2014-04-24,32480.0,1393/02/04
2014-04-26,33350.0,1393/02/06
2014-04-27,32820.0,1393/02/07
2014-04-28,32950.0,1393/02/08
2014-04-29,32980.0,1393/02/09
2014-04-30,33100.0,1393/02/10
2014-05-01,33130.0,1393/02/11
2014-05-03,32780.0,1393/02/13
2014-05-04,33140.0,1393/02/14
2014-05-05,33040.0,1393/02/15
2014-05-06,32910.0,1393/02/16
2014-05-07,32900.0,1393/02/17
2014-05-08,32870.0,1393/02/18
2014-05-10,32360.0,1393/02/20
2014-05-11,32490.0,1393/02/21
2014-05-12,32480.0,1393/02/22
2014-05-14,32450.0,1393/02/24
2014-05-15,32930.0,1393/02/25
2014-05-17,32760.0,1393/02/27
2014-05-18,32820.0,1393/02/28
2014-05-19,32940.0,1393/02/29
2014-05-20,32900.0,1393/02/30
2014-05-21,32870.0,1393/02/31
2014-05-22,32830.0,1393/03/01
2014-05-24,32820.0,1393/03/03
2014-05-25,32830.0,1393/03/04
2014-05-26,32770.0,1393/03/05
2014-05-28,32780.0,1393/03/07
2014-05-29,32770.0,1393/03/08
2014-05-31,32810.0,1393/03/10
2014-06-01,32820.0,1393/03/11
2014-06-02,32800.0,1393/03/12
2014-06-03,32830.0,1393/03/13
2014-06-07,32450.0,1393/03/17
2014-06-08,32320.0,1393/03/18
2014-06-09,32400.0,1393/03/19
2014-06-10,32400.0,1393/03/20
2014-06-11,32450.0,1393/03/21
2014-06-12,32430.0,1393/03/22
2014-06-14,32120.0,1393/03/24
2014-06-15,31790.0,1393/03/25
2014-06-16,32040.0,1393/03/26
2014-06-17,31930.0,1393/03/27
2014-06-18,32110.0,1393/03/28
2014-06-19,32290.0,1393/03/29
2014-06-21,31920.0,1393/03/31
2014-06-22,31720.0,1393/04/01
2014-06-23,31670.0,1393/04/02
2014-06-24,31670.0,1393/04/03
2014-06-25,31650.0,1393/04/04
2014-06-26,31690.0,1393/04/05
2014-06-28,31180.0,1393/04/07
2014-06-29,31140.0,1393/04/08
2014-06-30,31180.0,1393/04/09
2014-07-01,31330.0,1393/04/10
2014-07-02,31270.0,1393/04/11
2014-07-03,31260.0,1393/04/12
2014-07-05,30950.0,1393/04/14
2014-07-06,31260.0,1393/04/15
2014-07-07,31180.0,1393/04/16
2014-07-08,31050.0,1393/04/17
2014-07-09,31020.0,1393/04/18
2014-07-10,31060.0,1393/04/19
2014-07-12,31360.0,1393/04/21
2014-07-13,31230.0,1393/04/22
