symbol,company,group,period_end,title,publish_dt,tracing_no,is_revision,excel_url,energy_type,unit,month_qty,month_rate_rial,month_amount_mrial,ytd_qty,ytd_rate_rial,ytd_amount_mrial,month,year,gregorian
ارفع,آهن و فولاد ارفع,steel,1402/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,۱۴۰۲/۰۳/۰۲ ۲۰:۰۷:۰۷,1030104,False,https://excel.codal.ir/service/Excel/GetAll/kpx0l8Z1nRwy3VI4iSgHAA%3d%3d/0,گاز طبیعی,مترمکعب,31766821.0,23041.0,731950.0,62739937.0,23029.0,1444861.0,1402-02,1402,2023-05-21
ارفع,آهن و فولاد ارفع,steel,1402/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,۱۴۰۲/۰۴/۰۵ ۱۸:۰۳:۵۴,1045546,False,https://excel.codal.ir/service/Excel/GetAll/Ie2GsPxZQQQaQQQMzahSBvBL7v4w%3d%3d/0,آب,مترمکعب,89220.0,330397.0,29478.0,227959.0,330406.0,75319.0,1402-03,1402,2023-06-21
ارفع,آهن و فولاد ارفع,steel,1402/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,۱۴۰۲/۰۴/۰۵ ۱۸:۰۳:۵۴,1045546,False,https://excel.codal.ir/service/Excel/GetAll/Ie2GsPxZQQQaQQQMzahSBvBL7v4w%3d%3d/0,برق,مگاوات ساعت,88013.0,6010010.0,528959.0,261640.0,6255542.0,1636700.0,1402-03,1402,2023-06-21
ارفع,آهن و فولاد ارفع,steel,1402/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,۱۴۰۲/۰۴/۰۵ ۱۸:۰۳:۵۴,1045546,False,https://excel.codal.ir/service/Excel/GetAll/Ie2GsPxZQQQaQQQMzahSBvBL7v4w%3d%3d/0,گاز طبیعی,مترمکعب,32000000.0,22006.0,704192.0,94739937.0,22684.0,2149053.0,1402-03,1402,2023-06-21
ارفع,آهن و فولاد ارفع,steel,1402/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,۱۴۰۲/۰۵/۰۴ ۱۴:۵۴:۳۶,1064207,False,https://excel.codal.ir/service/Excel/GetAll/8Uemp0eCXHG2GX9ULDkZ5A%3d%3d/0,آب,مترمکعب,60000.0,350000.0,21000.0,323039.0,345748.0,111690.0,1402-04,1402,2023-07-22
ارفع,آهن و فولاد ارفع,steel,1402/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,۱۴۰۲/۰۵/۰۴ ۱۴:۵۴:۳۶,1064207,False,https://excel.codal.ir/service/Excel/GetAll/8Uemp0eCXHG2GX9ULDkZ5A%3d%3d/0,برق,مگاوات ساعت,66547.0,5379972.0,358021.0,328534.0,5908475.0,1941135.0,1402-04,1402,2023-07-22
ارفع,آهن و فولاد ارفع,steel,1402/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,۱۴۰۲/۰۵/۰۴ ۱۴:۵۴:۳۶,1064207,False,https://excel.codal.ir/service/Excel/GetAll/8Uemp0eCXHG2GX9ULDkZ5A%3d%3d/0,گاز طبیعی,مترمکعب,32383663.0,48006.0,1554615.0,126456269.0,29645.0,3748833.0,1402-04,1402,2023-07-22
ارفع,آهن و فولاد ارفع,steel,1402/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,۱۴۰۲/۰۶/۰۵ ۱۶:۴۰:۳۵,1074713,False,https://excel.codal.ir/service/Excel/GetAll/JynOOObOOOkvtDFp3Y5v6vX8PQQQaQQQCg%3d%3d/0,آب,مترمکعب,60000.0,404233.0,24254.0,371519.0,366164.0,136037.0,1402-05,1402,2023-08-22
ارفع,آهن و فولاد ارفع,steel,1402/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,۱۴۰۲/۰۶/۰۵ ۱۶:۴۰:۳۵,1074713,False,https://excel.codal.ir/service/Excel/GetAll/JynOOObOOOkvtDFp3Y5v6vX8PQQQaQQQCg%3d%3d/0,برق,مگاوات ساعت,35257.0,6376039.0,224800.0,368496.0,6139033.0,2262209.0,1402-05,1402,2023-08-22
ارفع,آهن و فولاد ارفع,steel,1402/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,۱۴۰۲/۰۶/۰۵ ۱۶:۴۰:۳۵,1074713,False,https://excel.codal.ir/service/Excel/GetAll/JynOOObOOOkvtDFp3Y5v6vX8PQQQaQQQCg%3d%3d/0,گاز طبیعی,مترمکعب,28500292.0,44006.0,1254190.0,154956561.0,32287.0,5003023.0,1402-05,1402,2023-08-22
ارفع,آهن و فولاد ارفع,steel,1402/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,۱۴۰۲/۰۷/۰۸ ۱۳:۱۳:۵۱,1087458,False,https://excel.codal.ir/service/Excel/GetAll/8MJxV1uWuzWhqiOT04wnLA%3d%3d/0,آب,مترمکعب,106950.0,467508.0,50000.0,471219.0,397633.0,187372.0,1402-06,1402,2023-09-22
ارفع,آهن و فولاد ارفع,steel,1402/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,۱۴۰۲/۰۷/۰۸ ۱۳:۱۳:۵۱,1087458,False,https://excel.codal.ir/service/Excel/GetAll/8MJxV1uWuzWhqiOT04wnLA%3d%3d/0,برق,مگاوات ساعت,70654.0,6369066.0,450000.0,446919.0,6103287.0,2727675.0,1402-06,1402,2023-09-22
ارفع,آهن و فولاد ارفع,steel,1402/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,۱۴۰۲/۰۷/۰۸ ۱۳:۱۳:۵۱,1087458,False,https://excel.codal.ir/service/Excel/GetAll/8MJxV1uWuzWhqiOT04wnLA%3d%3d/0,گاز طبیعی,مترمکعب,31570257.0,46068.0,1454375.0,177526818.0,36374.0,6457399.0,1402-06,1402,2023-09-22
ارفع,آهن و فولاد ارفع,steel,1402/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۷/۳۰,۱۴۰۲/۰۸/۰۶ ۱۳:۳۶:۳۴,1097150,False,https://excel.codal.ir/service/Excel/GetAll/7VQgvVbNOZvbukLCGDGZNQ%3d%3d/0,آب,مترمکعب,77350.0,485081.0,37521.0,545569.0,412995.0,225317.0,1402-07,1402,2023-10-22
ارفع,آهن و فولاد ارفع,steel,1402/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۷/۳۰,۱۴۰۲/۰۸/۰۶ ۱۳:۳۶:۳۴,1097150,False,https://excel.codal.ir/service/Excel/GetAll/7VQgvVbNOZvbukLCGDGZNQ%3d%3d/0,برق,مگاوات ساعت,93908.0,6176002.0,579976.0,542399.0,6090946.0,3303723.0,1402-07,1402,2023-10-22
ارفع,آهن و فولاد ارفع,steel,1402/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۷/۳۰,۱۴۰۲/۰۸/۰۶ ۱۳:۳۶:۳۴,1097150,False,https://excel.codal.ir/service/Excel/GetAll/7VQgvVbNOZvbukLCGDGZNQ%3d%3d/0,گاز طبیعی,مترمکعب,28381312.0,44006.0,1248948.0,214908130.0,35859.0,7706346.0,1402-07,1402,2023-10-22
ارفع,آهن و فولاد ارفع,steel,1402/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۸/۳۰,۱۴۰۲/۰۹/۰۵ ۱۵:۲۸:۰۲,1112233,False,https://excel.codal.ir/service/Excel/GetAll/v7fRLseQ4eu8JkcUaRXDTw%3d%3d/0,آب,مترمکعب,85000.0,485082.0,41232.0,630569.0,485274.0,305999.0,1402-08,1402,2023-11-21
ارفع,آهن و فولاد ارفع,steel,1402/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۸/۳۰,۱۴۰۲/۰۹/۰۵ ۱۵:۲۸:۰۲,1112233,False,https://excel.codal.ir/service/Excel/GetAll/v7fRLseQ4eu8JkcUaRXDTw%3d%3d/0,برق,مگاوات ساعت,87229.0,6070997.0,529567.0,620761.0,6071274.0,3768810.0,1402-08,1402,2023-11-21
ارفع,آهن و فولاد ارفع,steel,1402/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۸/۳۰,۱۴۰۲/۰۹/۰۵ ۱۵:۲۸:۰۲,1112233,False,https://excel.codal.ir/service/Excel/GetAll/v7fRLseQ4eu8JkcUaRXDTw%3d%3d/0,گاز طبیعی,مترمکعب,32060109.0,36006.0,1154351.0,247280929.0,35888.0,8874456.0,1402-08,1402,2023-11-21
